periodo,anio,trimestre,ambito,indicador,valor,unidad
2026-Q2,2026,Q2,España,"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",110.6,"Index, 2021=100"
2026-Q2,2026,Q2,España,"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-10.1,Percentage change compared to same period in previous year
2026-Q2,2026,Q2,España,"Production (volume). Construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",110.6,"Index, 2021=100"
2026-Q2,2026,Q2,España,"Production (volume). Construction. Seasonally and calendar adjusted data. Index, 2021=100",109.7,"Index, 2021=100"
2026-Q2,2026,Q2,España,Production (volume). Construction. Seasonally and calendar adjusted data. Percentage change on previous period,-0.5,Percentage change on previous period
2026-Q2,2026,Q2,España,"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",54.9,"Index, 2021=100"
2026-Q2,2026,Q2,España,"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-43.6,Percentage change compared to same period in previous year
2026-Q2,2026,Q2,España,"Production (volume). Construction of buildings. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",54.9,"Index, 2021=100"
2026-Q2,2026,Q2,España,"Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Index, 2021=100",57.6,"Index, 2021=100"
2026-Q2,2026,Q2,España,Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Percentage change on previous period,-8.0,Percentage change on previous period
2026-Q2,2026,Q2,España,"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",99.5,"Index, 2021=100"
2026-Q2,2026,Q2,España,"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",7.9,Percentage change compared to same period in previous year
2026-Q2,2026,Q2,España,"Production (volume). Civil engineering. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",99.5,"Index, 2021=100"
2026-Q2,2026,Q2,España,"Production (volume). Civil engineering. Seasonally and calendar adjusted data. Index, 2021=100",103.5,"Index, 2021=100"
2026-Q2,2026,Q2,España,Production (volume). Civil engineering. Seasonally and calendar adjusted data. Percentage change on previous period,20.8,Percentage change on previous period
2026-Q2,2026,Q2,España,"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",144.3,"Index, 2021=100"
2026-Q2,2026,Q2,España,"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-0.3,Percentage change compared to same period in previous year
2026-Q2,2026,Q2,España,"Production (volume). Specialised construction activities. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",143.1,"Index, 2021=100"
2026-Q2,2026,Q2,España,"Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Index, 2021=100",145.3,"Index, 2021=100"
2026-Q2,2026,Q2,España,Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Percentage change on previous period,5.6,Percentage change on previous period
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",98.9,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-1.4,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",98.1,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Index, 2021=100",100.4,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Percentage change on previous period",-0.8,Percentage change on previous period
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",94.9,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-2.8,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",94.0,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Construction. Seasonally and calendar adjusted data. Index, 2021=100",103.4,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),Production (volume). Construction. Seasonally and calendar adjusted data. Percentage change on previous period,-1.3,Percentage change on previous period
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",83.6,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-10.1,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Construction of buildings. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",82.8,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Index, 2021=100",90.8,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Percentage change on previous period,-4.5,Percentage change on previous period
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",99.6,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-1.0,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Civil engineering. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",98.6,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Civil engineering. Seasonally and calendar adjusted data. Index, 2021=100",113.4,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),Production (volume). Civil engineering. Seasonally and calendar adjusted data. Percentage change on previous period,-2.3,Percentage change on previous period
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",97.3,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-1.3,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Specialised construction activities. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",96.3,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),"Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Index, 2021=100",103.3,"Index, 2021=100"
2026-Q1,2026,Q1,Unión Europea (27),Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Percentage change on previous period,-1.1,Percentage change on previous period
2026-Q1,2026,Q1,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",101.1,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-5.9,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",101.3,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Index, 2021=100",104.2,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Percentage change on previous period",-2.3,Percentage change on previous period
2026-Q1,2026,Q1,España,"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",96.2,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-21.5,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,España,"Production (volume). Construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",96.2,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Construction. Seasonally and calendar adjusted data. Index, 2021=100",110.2,"Index, 2021=100"
2026-Q1,2026,Q1,España,Production (volume). Construction. Seasonally and calendar adjusted data. Percentage change on previous period,-6.2,Percentage change on previous period
2026-Q1,2026,Q1,España,"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",47.3,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-54.2,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,España,"Production (volume). Construction of buildings. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",47.3,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Index, 2021=100",62.6,"Index, 2021=100"
2026-Q1,2026,Q1,España,Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Percentage change on previous period,-21.1,Percentage change on previous period
2026-Q1,2026,Q1,España,"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",74.9,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-7.9,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,España,"Production (volume). Civil engineering. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",74.9,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Civil engineering. Seasonally and calendar adjusted data. Index, 2021=100",85.7,"Index, 2021=100"
2026-Q1,2026,Q1,España,Production (volume). Civil engineering. Seasonally and calendar adjusted data. Percentage change on previous period,-7.9,Percentage change on previous period
2026-Q1,2026,Q1,España,"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",131.4,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-8.2,Percentage change compared to same period in previous year
2026-Q1,2026,Q1,España,"Production (volume). Specialised construction activities. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",130.1,"Index, 2021=100"
2026-Q1,2026,Q1,España,"Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Index, 2021=100",137.6,"Index, 2021=100"
2026-Q1,2026,Q1,España,Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Percentage change on previous period,-7.7,Percentage change on previous period
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",105.3,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",2.0,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",104.7,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Index, 2021=100",101.2,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Percentage change on previous period",0.1,Percentage change on previous period
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",113.3,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",2.4,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",112.6,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Construction. Seasonally and calendar adjusted data. Index, 2021=100",104.8,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),Production (volume). Construction. Seasonally and calendar adjusted data. Percentage change on previous period,0.0,Percentage change on previous period
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",101.0,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",0.3,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Construction of buildings. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",100.4,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Index, 2021=100",95.1,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Percentage change on previous period,0.3,Percentage change on previous period
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",125.0,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",1.0,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Civil engineering. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",124.3,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Civil engineering. Seasonally and calendar adjusted data. Index, 2021=100",116.1,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),Production (volume). Civil engineering. Seasonally and calendar adjusted data. Percentage change on previous period,1.4,Percentage change on previous period
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",112.1,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",2.7,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Specialised construction activities. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",111.5,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),"Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Index, 2021=100",104.5,"Index, 2021=100"
2025-Q4,2025,Q4,Unión Europea (27),Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Percentage change on previous period,0.8,Percentage change on previous period
2025-Q4,2025,Q4,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",111.8,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",7.2,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",112.0,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Index, 2021=100",106.7,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Percentage change on previous period",0.0,Percentage change on previous period
2025-Q4,2025,Q4,España,"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",135.0,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",22.1,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,España,"Production (volume). Construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",134.9,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Construction. Seasonally and calendar adjusted data. Index, 2021=100",117.5,"Index, 2021=100"
2025-Q4,2025,Q4,España,Production (volume). Construction. Seasonally and calendar adjusted data. Percentage change on previous period,-2.3,Percentage change on previous period
2025-Q4,2025,Q4,España,"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",98.0,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Construction of buildings. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-8.0,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,España,"Production (volume). Construction of buildings. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",98.0,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Index, 2021=100",79.3,"Index, 2021=100"
2025-Q4,2025,Q4,España,Production (volume). Construction of buildings. Seasonally and calendar adjusted data. Percentage change on previous period,-9.3,Percentage change on previous period
2025-Q4,2025,Q4,España,"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",107.3,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Civil engineering. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",-6.9,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,España,"Production (volume). Civil engineering. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",107.3,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Civil engineering. Seasonally and calendar adjusted data. Index, 2021=100",93.1,"Index, 2021=100"
2025-Q4,2025,Q4,España,Production (volume). Civil engineering. Seasonally and calendar adjusted data. Percentage change on previous period,2.6,Percentage change on previous period
2025-Q4,2025,Q4,España,"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",159.3,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Specialised construction activities. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",32.3,Percentage change compared to same period in previous year
2025-Q4,2025,Q4,España,"Production (volume). Specialised construction activities. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",161.0,"Index, 2021=100"
2025-Q4,2025,Q4,España,"Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Index, 2021=100",149.1,"Index, 2021=100"
2025-Q4,2025,Q4,España,Production (volume). Specialised construction activities. Seasonally and calendar adjusted data. Percentage change on previous period,5.7,Percentage change on previous period
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",98.0,"Index, 2021=100"
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",2.0,Percentage change compared to same period in previous year
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",98.0,"Index, 2021=100"
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Index, 2021=100",101.1,"Index, 2021=100"
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; construction. Seasonally and calendar adjusted data. Percentage change on previous period",0.1,Percentage change on previous period
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Index, 2021=100",102.3,"Index, 2021=100"
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Construction. Calendar adjusted data, not seasonally adjusted data. Percentage change compared to same period in previous year",2.7,Percentage change compared to same period in previous year
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Construction. Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data). Index, 2021=100",102.1,"Index, 2021=100"
2025-Q3,2025,Q3,Unión Europea (27),"Production (volume). Construction. Seasonally and calendar adjusted data. Index, 2021=100",104.8,"Index, 2021=100"
2025-Q3,2025,Q3,Unión Europea (27),Production (volume). Construction. Seasonally and calendar adjusted data. Percentage change on previous period,0.3,Percentage change on previous period
