periodo,anio,trimestre,ambito,indicador,valor,unidad
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 19 years. Females,24.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 19 years. Males,22.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 19 years. Total,23.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 24 years. Females,31.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 24 years. Males,29.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 24 years. Total,30.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 29 years. Females,32.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 29 years. Males,32.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 15 to 29 years. Total,32.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 19 years. Females,24.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 19 years. Males,23.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 19 years. Total,24.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 24 years. Females,32.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 24 years. Males,31.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 24 years. Total,31.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 29 years. Females,33.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 29 years. Males,33.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 16 to 29 years. Total,33.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 18 to 24 years. Females,35.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 18 to 24 years. Males,34.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 18 to 24 years. Total,35.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 18 to 64 years. Females,31.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 18 to 64 years. Males,31.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 18 to 64 years. Total,31.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 20 to 24 years. Females,39.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 20 to 24 years. Males,37.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 20 to 24 years. Total,38.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 20 to 29 years. Females,37.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 20 to 29 years. Males,38.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 20 to 29 years. Total,38.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 25 to 29 years. Females,36.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 25 to 29 years. Males,40.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 25 to 29 years. Total,38.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 6 to 11 years. Females,22.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 6 to 11 years. Males,21.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. From 6 to 11 years. Total,22.4,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. 65 years or over. Females,30.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. 65 years or over. Males,27.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. 65 years or over. Total,29.0,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Less than 18 years. Females,22.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Less than 18 years. Males,21.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Less than 18 years. Total,22.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Less than 6 years. Females,23.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Less than 6 years. Males,23.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Below 60%. Less than 6 years. Total,23.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Total. Females,8.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Total. Males,7.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. Total. Total,7.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 12 to 17 years. Females,6.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 12 to 17 years. Males,6.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 12 to 17 years. Total,6.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 19 years. Females,7.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 19 years. Males,6.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 19 years. Total,6.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 24 years. Females,9.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 24 years. Males,8.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 24 years. Total,8.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 29 years. Females,9.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 29 years. Males,8.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 15 to 29 years. Total,9.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 19 years. Females,7.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 19 years. Males,6.7,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 19 years. Total,6.9,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 24 years. Females,9.6,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 24 years. Males,8.8,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 24 years. Total,9.2,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 29 years. Females,9.5,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 29 years. Males,9.1,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 16 to 29 years. Total,9.3,Percentage
2025,2025,,Unión Europea (27),Percentage. Total. From 18 to 24 years. Females,10.6,Percentage
