periodo,anio,trimestre,ambito,indicador,valor,unidad
2022,2022,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2025=100",93.79,"Annual average index, 2025=100"
2022,2022,,Unión Europea (27),Purchases of existing dwellings. Annual average rate of change,7.6,Annual average rate of change
2022,2022,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2015=100",145.16,"Annual average index, 2015=100"
2022,2022,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2025=100",85.06,"Annual average index, 2025=100"
2022,2022,,Unión Europea (27),Purchases of newly built dwellings. Annual average rate of change,9.4,Annual average rate of change
2022,2022,,Unión Europea (27),"Total. Annual average index, 2015=100",148.86,"Annual average index, 2015=100"
2022,2022,,Unión Europea (27),"Total. Annual average index, 2025=100",91.92,"Annual average index, 2025=100"
2022,2022,,Unión Europea (27),Total. Annual average rate of change,8.0,Annual average rate of change
2022,2022,,España,"Purchases of existing dwellings. Annual average index, 2015=100",139.8,"Annual average index, 2015=100"
2022,2022,,España,"Purchases of existing dwellings. Annual average index, 2025=100",79.33,"Annual average index, 2025=100"
2022,2022,,España,Purchases of existing dwellings. Annual average rate of change,7.3,Annual average rate of change
2022,2022,,España,"Purchases of newly built dwellings. Annual average index, 2015=100",154.9,"Annual average index, 2015=100"
2022,2022,,España,"Purchases of newly built dwellings. Annual average index, 2025=100",75.02,"Annual average index, 2025=100"
2022,2022,,España,Purchases of newly built dwellings. Annual average rate of change,7.8,Annual average rate of change
2022,2022,,España,"Total. Annual average index, 2015=100",141.98,"Annual average index, 2015=100"
2022,2022,,España,"Total. Annual average index, 2025=100",78.62,"Annual average index, 2025=100"
2022,2022,,España,Total. Annual average rate of change,7.4,Annual average rate of change
2021,2021,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2015=100",139.11,"Annual average index, 2015=100"
2021,2021,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2025=100",87.14,"Annual average index, 2025=100"
2021,2021,,Unión Europea (27),Purchases of existing dwellings. Annual average rate of change,8.8,Annual average rate of change
2021,2021,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2015=100",132.67,"Annual average index, 2015=100"
2021,2021,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2025=100",77.74,"Annual average index, 2025=100"
2021,2021,,Unión Europea (27),Purchases of newly built dwellings. Annual average rate of change,6.8,Annual average rate of change
2021,2021,,Unión Europea (27),"Total. Annual average index, 2015=100",137.87,"Annual average index, 2015=100"
2021,2021,,Unión Europea (27),"Total. Annual average index, 2025=100",85.14,"Annual average index, 2025=100"
2021,2021,,Unión Europea (27),Total. Annual average rate of change,8.4,Annual average rate of change
2021,2021,,España,"Purchases of existing dwellings. Annual average index, 2015=100",130.32,"Annual average index, 2015=100"
2021,2021,,España,"Purchases of existing dwellings. Annual average index, 2025=100",73.96,"Annual average index, 2025=100"
2021,2021,,España,Purchases of existing dwellings. Annual average rate of change,3.6,Annual average rate of change
2021,2021,,España,"Purchases of newly built dwellings. Annual average index, 2015=100",143.71,"Annual average index, 2015=100"
2021,2021,,España,"Purchases of newly built dwellings. Annual average index, 2025=100",69.6,"Annual average index, 2025=100"
2021,2021,,España,Purchases of newly built dwellings. Annual average rate of change,4.5,Annual average rate of change
2021,2021,,España,"Total. Annual average index, 2015=100",132.19,"Annual average index, 2015=100"
2021,2021,,España,"Total. Annual average index, 2025=100",73.2,"Annual average index, 2025=100"
2021,2021,,España,Total. Annual average rate of change,3.7,Annual average rate of change
2020,2020,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2015=100",127.81,"Annual average index, 2015=100"
2020,2020,,Unión Europea (27),"Purchases of existing dwellings. Annual average index, 2025=100",80.07,"Annual average index, 2025=100"
2020,2020,,Unión Europea (27),Purchases of existing dwellings. Annual average rate of change,5.7,Annual average rate of change
2020,2020,,Unión Europea (27),"Purchases of newly built dwellings. Annual average index, 2015=100",124.26,"Annual average index, 2015=100"
