Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2011;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;582456.1;Miles euros;
2011;Valor de las transacciones de suelo urbano;Otros;;;733454.8;Miles euros;
2011;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1486.9;Miles m2;
2011;Superficie de las transacciones de suelo urbano;Otros;;;2476.9;Miles m2;
2011;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;990.0;Miles m2;
2011;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;443;Número;
2011;Transacciones de suelo urbano;Otros;;;1082;Número;
2011;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;639;Número;
2012;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;369677.6;Miles euros;
2012;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;75801.6;Miles euros;
2012;Valor de las transacciones de suelo urbano;Otros;;;445479.3;Miles euros;
2012;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;774.6;Miles m2;
2012;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;751.8;Miles m2;
2012;Superficie de las transacciones de suelo urbano;Otros;;;1526.4;Miles m2;
2012;Transacciones de suelo urbano;Otros;;;1086;Número;
2012;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;585;Número;
2012;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;501;Número;
2013;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;342368.9;Miles euros;
2013;Valor de las transacciones de suelo urbano;Otros;;;424892.6;Miles euros;
2013;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;82523.7;Miles euros;
2013;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;681.7;Miles m2;
2013;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1316.1;Miles m2;
2013;Superficie de las transacciones de suelo urbano;Otros;;;1997.8;Miles m2;
2013;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;705;Número;
2013;Transacciones de suelo urbano;Otros;;;1194;Número;
2013;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;489;Número;
2014;Valor de las transacciones de suelo urbano;Otros;;;483481.0;Miles euros;
2014;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;393605.0;Miles euros;
2014;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;89876.0;Miles euros;
2014;Superficie de las transacciones de suelo urbano;Otros;;;2140.0;Miles m2;
2014;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1478.0;Miles m2;
2014;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;663.0;Miles m2;
2014;Transacciones de suelo urbano;Otros;;;1072;Número;
2014;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;553;Número;
2014;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;519;Número;
2015;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;136865.6;Miles euros;
2015;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;608235.6;Miles euros;
2015;Valor de las transacciones de suelo urbano;Otros;;;745101.1;Miles euros;
2015;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1420.4;Miles m2;
2015;Superficie de las transacciones de suelo urbano;Otros;;;2014.8;Miles m2;
2015;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;594.4;Miles m2;
2015;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;615;Número;
2015;Transacciones de suelo urbano;Otros;;;1232;Número;
2015;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;617;Número;
2016;Valor de las transacciones de suelo urbano;Otros;;;905120.2;Miles euros;
2016;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;801394.0;Miles euros;
2016;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;103726.2;Miles euros;
2016;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;2663.9;Miles m2;
2016;Superficie de las transacciones de suelo urbano;Otros;;;3340.8;Miles m2;
2016;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;676.9;Miles m2;
2016;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1323;Número;
2016;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;700;Número;
2016;Transacciones de suelo urbano;Otros;;;2023;Número;
2017;Valor de las transacciones de suelo urbano;Otros;;;859828.0;Miles euros;
2017;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;702051.0;Miles euros;
2017;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;157777.0;Miles euros;
2017;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;814.0;Miles m2;
2017;Superficie de las transacciones de suelo urbano;Otros;;;3313.0;Miles m2;
2017;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;2499.0;Miles m2;
2017;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;959;Número;
2017;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1171;Número;
2017;Transacciones de suelo urbano;Otros;;;2130;Número;
2018;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;724482.3;Miles euros;
2018;Valor de las transacciones de suelo urbano;Otros;;;866021.6;Miles euros;
2018;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;141539.3;Miles euros;
2018;Superficie de las transacciones de suelo urbano;Otros;;;3436.2;Miles m2;
2018;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;901.1;Miles m2;
2018;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;2535.0;Miles m2;
2018;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;909;Número;
2018;Transacciones de suelo urbano;Otros;;;2106;Número;
2018;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1197;Número;
2019;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;655616.9;Miles euros;
2019;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;118144.7;Miles euros;
2019;Valor de las transacciones de suelo urbano;Otros;;;773761.6;Miles euros;
2019;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1689.1;Miles m2;
2019;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;850.0;Miles m2;
2019;Superficie de las transacciones de suelo urbano;Otros;;;2539.1;Miles m2;
2019;Transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;608;Número;
2019;Transacciones de suelo urbano;Otros;;;1333;Número;
2019;Transacciones de suelo urbano adquirido por personas físicas;Otros;;;725;Número;
2020;Valor de las transacciones de suelo urbano;Otros;;;443714.8;Miles euros;
2020;Valor de las transaciones de suelo urbano adquirido por personas jurídicas;Otros;;;337269.2;Miles euros;
2020;Valor de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;106445.6;Miles euros;
2020;Superficie de las transacciones de suelo urbano adquirido por personas jurídicas;Otros;;;1115.0;Miles m2;
2020;Superficie de las transacciones de suelo urbano adquirido por personas físicas;Otros;;;689.5;Miles m2;
2020;Superficie de las transacciones de suelo urbano;Otros;;;1804.5;Miles m2;
2020;Transacciones de suelo urbano;Otros;;;1091;Número;
