fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2026-06-30,2026,junio,T2,España,Ingeniería civil. Índice,95.5,Índice
2026-06-30,2026,junio,T2,España,Ingeniería civil. Variación mensual,-2.8,Tasas
2026-06-30,2026,junio,T2,España,Ingeniería civil. Variación de la media en lo que va de año,-0.31,Tasas
2026-06-30,2026,junio,T2,España,Ingeniería civil. Variación anual,-4.6,Tasas
2026-06-30,2026,junio,T2,España,Construcción. Índice,126.9,Índice
2026-06-30,2026,junio,T2,España,Construcción. Variación mensual,12.7,Tasas
2026-06-30,2026,junio,T2,España,Construcción. Variación de la media en lo que va de año,-14.82,Tasas
2026-06-30,2026,junio,T2,España,Construcción. Variación anual,-9.8,Tasas
2026-06-30,2026,junio,T2,España,Construcción de edificios. Índice,74.9,Índice
2026-06-30,2026,junio,T2,España,Construcción de edificios. Variación mensual,28.8,Tasas
2026-06-30,2026,junio,T2,España,Construcción de edificios. Variación de la media en lo que va de año,-46.785,Tasas
2026-06-30,2026,junio,T2,España,Construcción de edificios. Variación anual,-35.2,Tasas
2026-06-30,2026,junio,T2,España,Actividades de construcción especializada. Índice,162.2,Índice
2026-06-30,2026,junio,T2,España,Actividades de construcción especializada. Variación mensual,11.6,Tasas
2026-06-30,2026,junio,T2,España,Actividades de construcción especializada. Variación de la media en lo que va de año,-3.938,Tasas
2026-06-30,2026,junio,T2,España,Actividades de construcción especializada. Variación anual,-0.8,Tasas
2026-05-31,2026,mayo,T2,España,Ingeniería civil. Índice,98.2,Índice
2026-05-31,2026,mayo,T2,España,Ingeniería civil. Variación mensual,1.8,Tasas
2026-05-31,2026,mayo,T2,España,Ingeniería civil. Variación de la media en lo que va de año,0.511,Tasas
2026-05-31,2026,mayo,T2,España,Ingeniería civil. Variación anual,-6.7,Tasas
2026-05-31,2026,mayo,T2,España,Construcción. Índice,112.6,Índice
2026-05-31,2026,mayo,T2,España,Construcción. Variación mensual,2.9,Tasas
2026-05-31,2026,mayo,T2,España,Construcción. Variación de la media en lo que va de año,-15.783,Tasas
2026-05-31,2026,mayo,T2,España,Construcción. Variación anual,-12.3,Tasas
2026-05-31,2026,mayo,T2,España,Construcción de edificios. Índice,58.1,Índice
2026-05-31,2026,mayo,T2,España,Construcción de edificios. Variación mensual,9.5,Tasas
2026-05-31,2026,mayo,T2,España,Construcción de edificios. Variación de la media en lo que va de año,-49.011,Tasas
2026-05-31,2026,mayo,T2,España,Construcción de edificios. Variación anual,-43.5,Tasas
2026-05-31,2026,mayo,T2,España,Actividades de construcción especializada. Índice,145.3,Índice
2026-05-31,2026,mayo,T2,España,Actividades de construcción especializada. Variación mensual,1.6,Tasas
2026-05-31,2026,mayo,T2,España,Actividades de construcción especializada. Variación de la media en lo que va de año,-4.54,Tasas
2026-05-31,2026,mayo,T2,España,Actividades de construcción especializada. Variación anual,-0.7,Tasas
2026-04-30,2026,abril,T2,España,Ingeniería civil. Índice,96.4,Índice
2026-04-30,2026,abril,T2,España,Ingeniería civil. Variación mensual,-7.1,Tasas
2026-04-30,2026,abril,T2,España,Ingeniería civil. Variación de la media en lo que va de año,2.329,Tasas
2026-04-30,2026,abril,T2,España,Ingeniería civil. Variación anual,13.0,Tasas
2026-04-30,2026,abril,T2,España,Construcción. Índice,109.5,Índice
2026-04-30,2026,abril,T2,España,Construcción. Variación mensual,-0.2,Tasas
2026-04-30,2026,abril,T2,España,Construcción. Variación de la media en lo que va de año,-16.525,Tasas
2026-04-30,2026,abril,T2,España,Construcción. Variación anual,-13.1,Tasas
