fecha,anio,mes,trimestre,ambito,indicador,valor,unidad
2019-12-31,2019,diciembre,T4,Andalucía,Total. Variación anual,0.7,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,106.79,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,1.5,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,110.4,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,3.8,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Total. Índice,109.999,Índice
2018-12-31,2018,diciembre,T4,España,Total Nacional. Total. Variación anual,3.5,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,107.1,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,1.7,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda colectiva. Índice,110.115,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,3.8,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Total. Índice,109.594,Índice
2018-12-31,2018,diciembre,T4,Andalucía,Total. Variación anual,3.4,Índice
2017-12-31,2017,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,105.205,Índice
2017-12-31,2017,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,1.8,Índice
2017-12-31,2017,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,106.378,Índice
2017-12-31,2017,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,2.7,Índice
2017-12-31,2017,diciembre,T4,España,Total Nacional. Total. Índice,106.247,Índice
2017-12-31,2017,diciembre,T4,España,Total Nacional. Total. Variación anual,2.6,Índice
2017-12-31,2017,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,105.322,Índice
2017-12-31,2017,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,1.7,Índice
2017-12-31,2017,diciembre,T4,Andalucía,Vivienda colectiva. Índice,106.09,Índice
2017-12-31,2017,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,2.4,Índice
2017-12-31,2017,diciembre,T4,Andalucía,Total. Índice,105.957,Índice
2017-12-31,2017,diciembre,T4,Andalucía,Total. Variación anual,2.3,Índice
2016-12-31,2016,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Índice,103.327,Índice
2016-12-31,2016,diciembre,T4,España,Total Nacional. Vivienda unifamiliar. Variación anual,1.6,Índice
2016-12-31,2016,diciembre,T4,España,Total Nacional. Vivienda colectiva. Índice,103.553,Índice
2016-12-31,2016,diciembre,T4,España,Total Nacional. Vivienda colectiva. Variación anual,1.8,Índice
2016-12-31,2016,diciembre,T4,España,Total Nacional. Total. Índice,103.528,Índice
2016-12-31,2016,diciembre,T4,España,Total Nacional. Total. Variación anual,1.8,Índice
2016-12-31,2016,diciembre,T4,Andalucía,Vivienda unifamiliar. Índice,103.524,Índice
2016-12-31,2016,diciembre,T4,Andalucía,Vivienda unifamiliar. Variación anual,1.4,Índice
2016-12-31,2016,diciembre,T4,Andalucía,Vivienda colectiva. Índice,103.608,Índice
2016-12-31,2016,diciembre,T4,Andalucía,Vivienda colectiva. Variación anual,1.6,Índice
2016-12-31,2016,diciembre,T4,Andalucía,Total. Índice,103.593,Índice
2016-12-31,2016,diciembre,T4,Andalucía,Total. Variación anual,1.6,Índice
